name,phase,policy,gpu,tag,batch,dtype,stacks,hbm_gen,link_gbps,eff_link_gbps,barriers,hit_rate,replay_s,analytic_s,ratio,q_over_bar
C3-mixtral-7.5,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,114.5,114.5,32,0.2812,0.152436,0.152714254,0.998178,0.000838
C3-olmoe-15,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,32,0.7188,0.009208,0.00917082643,1.004053,0.013957
C3-olmoe-2.5,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,32,0.1719,0.024832,0.0248136846,1.000738,0.005158
C3-olmoe-7.5,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,32,0.418,0.01774,0.0177142216,1.001455,0.007226
D-deepseek-fp8,decode,static,H100,DeepSeek-V2-Lite,1,fp8,5,HBM3,50.7,50.7,32,0.4531,0.018628,0.0187632717,0.992791,0.006822
D-mixtral-fp8,decode,static,H100,Mixtral-8x7B,1,fp8,5,HBM3,50.7,50.7,32,0.1875,0.185212,0.186529473,0.992937,0.000686
D-olmoe-fp8,decode,static,H100,OLMoE-1B-7B,1,fp8,5,HBM3,50.7,50.7,32,0.3359,0.021572,0.0217666486,0.991057,0.005881
D3-mixtral-fp8,decode,static,H100,Mixtral-8x7B,1,fp8,5,HBM3,114.5,114.5,32,0.1875,0.08576,0.0858549053,0.998895,0.001491
D3-olmoe-fp8,decode,static,H100,OLMoE-1B-7B,1,fp8,5,HBM3,114.5,114.5,32,0.3359,0.010068,0.010013614,1.005431,0.012783
DY-deepseek-lru_layer,decode,lru_layer,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,64,0.1406,0.114956,0.115856964,0.992223,0.002210
DY-mixtral-lru,decode,lru,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.0,0.454016,0.457493404,0.992399,0.000280
DY-mixtral-lru_layer,decode,lru_layer,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.0,0.454016,0.457493404,0.992399,0.000280
DY-mixtral-none,decode,none,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.0,0.454016,0.457493404,0.992399,0.000280
DY-olmoe-lru,decode,lru,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,64,0.0,0.129668,0.130727761,0.991893,0.001958
DY-olmoe-lru_layer,decode,lru_layer,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,64,0.2031,0.103424,0.104177325,0.992769,0.002457
DY-olmoe-lru_layer-cxl3,decode,lru_layer,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,64,0.2031,0.047788,0.0477553145,1.000684,0.005361
DY-olmoe-none,decode,none,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,64,0.0,0.129668,0.130727761,0.991893,0.001958
DY-olmoe-oracle,decode,oracle,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,64,0.2344,0.099272,0.100092642,0.991801,0.002558
DY-phi-lru_layer,decode,lru_layer,H100,Phi-3.5-MoE,1,fp16,5,HBM3,50.7,50.7,32,0.0312,0.196388,0.19786077,0.992557,0.000647
F2-A-deepseek-cxl3,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,114.5,114.5,32,0.4375,0.01804,0.0180386334,1.000076,0.007096
F2-L-mixtral-cxl3,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,114.5,114.5,32,0.1719,0.174448,0.174755861,0.998238,0.000732
F2-L-olmoe-cxl3,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,32,0.3203,0.020476,0.0204451982,1.001507,0.006261
F2-L-phi-cxl3,decode,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,114.5,114.5,32,0.375,0.059768,0.0598615853,0.998437,0.002138
F3-A-phi-pcie4,decode,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,24.9,24.9,32,0.375,0.258704,0.257583287,1.004351,0.000497
F3-L-mixtral-pcie4,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,24.9,24.9,32,0.1719,0.764956,0.761593871,1.004415,0.000168
F3-L-olmoe-pcie4,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,24.9,24.9,32,0.3203,0.089676,0.0892523504,1.004747,0.001434
F48-mixtral-10,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,114.5,101.6,32,0.375,0.151788,0.149416697,1.015870,0.000857
F48-olmoe-5,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,101.6,32,0.3203,0.023196,0.0228828637,1.013684,0.005594
FLAG-mixtral-b16-80g,decode,static,H100,Mixtral-8x7B,16,fp16,5,HBM3,50.7,50.7,128,0.9116,0.71934,0.726865876,0.989646,0.000704
G-deepseek,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,32,0.4375,0.038276,0.0385745856,0.992260,0.003318
G-mixtral,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,32,0.1719,0.376784,0.379977094,0.991597,0.000337
G-olmoe,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,32,0.3203,0.04422,0.0445075261,0.993540,0.002876
G-phi,decode,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,50.7,50.7,32,0.375,0.128012,0.129006206,0.992293,0.000992
H-mixtral-h200,decode,static,H200,Mixtral-8x7B,1,fp16,6,HBM3e,50.7,50.7,32,0.1719,0.376576,0.375011562,1.004172,0.000341
H-olmoe-h200,decode,static,H200,OLMoE-1B-7B,1,fp16,6,HBM3e,50.7,50.7,32,0.3203,0.044136,0.0439476868,1.004285,0.002913
HR-deepseek-90,decode,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,128,1.0,0.006144,0.00602143805,1.020354,0.085030
HR-mixtral-lru-80,decode,lru_layer,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,128,0.5586,0.811036,0.817360892,0.992262,0.000626
HR-mixtral-static-80,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,128,1.0,0.027648,0.0285500734,0.968404,0.017933
HR-olmoe-90,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,256,1.0,0.01024,0.0100144932,1.022518,0.102252
HR-phi-75,decode,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,50.7,50.7,128,1.0,0.014336,0.0144458376,0.992397,0.035443
K-mixtral-ctrl,decode,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,16,1.0,0.003456,0.00356873141,0.968411,0.017934
K-olmoe-ctrl,decode,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,32,1.0,0.00128,0.00125129329,1.022942,0.102294
PF-deepseek-10,prefill,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,8,0.3281,0.121032,0.121968141,0.992325,0.000262
PF-deepseek-25,prefill,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,50.7,50.7,8,0.8145,0.036696,0.0369872627,0.992125,0.000865
PF-mixtral-10,prefill,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,8,0.375,0.286136,0.288389777,0.992185,0.000111
PF-mixtral-25,prefill,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,8,0.9844,0.012596,0.0128898723,0.977201,0.002483
PF-mixtral-cxl3,prefill,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,114.5,114.5,8,0.9844,0.008824,0.00901777361,0.978512,0.003549
PF-olmoe-10,prefill,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,8,0.1937,0.104704,0.105617719,0.991349,0.000303
PF-olmoe-25,prefill,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,50.7,50.7,8,0.4932,0.06684,0.0674277488,0.991283,0.000475
PF-olmoe-cxl3,prefill,static,H100,OLMoE-1B-7B,1,fp16,5,HBM3,114.5,114.5,8,0.4932,0.031572,0.0316108355,0.998771,0.001012
PF-phi-10,prefill,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,50.7,50.7,8,0.3906,0.249012,0.251116417,0.991620,0.000127
PF-phi-25,prefill,static,H100,Phi-3.5-MoE,1,fp16,5,HBM3,50.7,50.7,8,0.9922,0.008108,0.008335681,0.972686,0.003839
PF2-deepseek-b16,prefill,static,H100,DeepSeek-V2-Lite,16,fp16,5,HBM3,50.7,50.7,8,0.2988,0.14442,0.145292797,0.993993,0.000220
PF2-deepseek-cxl3,prefill,static,H100,DeepSeek-V2-Lite,1,fp16,5,HBM3,114.5,114.5,8,0.8145,0.01892,0.0188871754,1.001738,0.001694
PF2-mixtral-50,prefill,static,H100,Mixtral-8x7B,1,fp16,5,HBM3,50.7,50.7,16,0.9922,0.01894,0.0189660524,0.998626,0.003374
PF2-mixtral-b4,prefill,static,H100,Mixtral-8x7B,4,fp16,5,HBM3,50.7,50.7,8,0.375,0.29262,0.294638423,0.993149,0.000109
PF2-mixtral-fp8,prefill,static,H100,Mixtral-8x7B,1,fp8,5,HBM3,50.7,50.7,8,0.375,0.142968,0.143993248,0.992880,0.000222
PF2-olmoe-b16,prefill,static,H100,OLMoE-1B-7B,16,fp16,5,HBM3,50.7,50.7,8,0.0,0.12962,0.130570758,0.992718,0.000245
PF2-olmoe-b4,prefill,static,H100,OLMoE-1B-7B,4,fp16,5,HBM3,50.7,50.7,8,0.1543,0.111404,0.112164898,0.993216,0.000285
